cycle,avg_score,avg_energy,inactive_student
0,0,5,0
1,0.5,4.5,0
2,1,4,0
3,1.3,3.7,0
4,1.8,3.2,0
5,2.35,2.65,0
6,2.9,2.1,0
7,3.4,1.6,1
8,3.75,1.25,4
9,4.1,0.9,8
10,4.4,0.6,11
11,4.55,0.45,14
12,4.65,0.35,14
13,4.85,0.15,17
14,4.95,0.05,19
15,5,0,20
16,5,0,20
17,5,0,20
18,5,0,20
19,5,0,20
20,5,0,20
21,5,0,20
22,5,0,20
23,5,0,20
24,5,0,20
25,5,0,20
26,5,0,20
27,5,0,20
28,5,0,20
29,5,0,20
30,5,0,20
31,5,0,20
32,5,0,20
33,5,0,20
34,5,0,20
35,5,0,20
36,5,0,20
37,5,0,20
38,5,0,20
39,5,0,20
40,5,0,20
41,5,0,20
42,5,0,20
43,5,0,20
44,5,0,20
45,5,0,20
46,5,0,20
47,5,0,20
48,5,0,20
49,5,0,20
50,5,0,20
51,5,0,20
52,5,0,20
53,5,0,20
54,5,0,20
55,5,0,20
56,5,0,20
57,5,0,20
58,5,0,20
59,5,0,20
60,5,0,20
61,5,0,20
62,5,0,20
63,5,0,20
64,5,0,20
65,5,0,20
66,5,0,20
67,5,0,20
68,5,0,20
69,5,0,20
70,5,0,20
71,5,0,20
72,5,0,20
73,5,0,20
74,5,0,20
75,5,0,20
76,5,0,20
77,5,0,20
78,5,0,20
79,5,0,20
80,5,0,20
81,5,0,20
82,5,0,20
83,5,0,20
84,5,0,20
85,5,0,20
86,5,0,20
87,5,0,20
88,5,0,20
89,5,0,20
90,5,0,20
91,5,0,20
92,5,0,20
93,5,0,20
94,5,0,20
95,5,0,20
96,5,0,20
97,5,0,20
98,5,0,20
99,5,0,20
100,5,0,20
101,5,0,20
102,5,0,20
103,5,0,20
104,5,0,20
105,5,0,20
106,5,0,20
107,5,0,20
108,5,0,20
109,5,0,20
110,5,0,20
111,5,0,20
112,5,0,20
113,5,0,20
114,5,0,20
115,5,0,20
116,5,0,20
117,5,0,20
118,5,0,20
119,5,0,20
120,5,0,20
121,5,0,20
122,5,0,20
123,5,0,20
124,5,0,20
125,5,0,20
126,5,0,20
127,5,0,20
128,5,0,20
129,5,0,20
130,5,0,20
131,5,0,20
132,5,0,20
133,5,0,20
134,5,0,20
135,5,0,20
136,5,0,20
137,5,0,20
138,5,0,20
139,5,0,20
140,5,0,20
141,5,0,20
142,5,0,20
143,5,0,20
144,5,0,20
145,5,0,20
146,5,0,20
147,5,0,20
148,5,0,20
149,5,0,20
150,5,0,20
151,5,0,20
152,5,0,20
153,5,0,20
154,5,0,20
155,5,0,20
156,5,0,20
157,5,0,20
158,5,0,20
159,5,0,20
160,5,0,20
161,5,0,20
162,5,0,20
163,5,0,20
164,5,0,20
165,5,0,20
166,5,0,20
167,5,0,20
168,5,0,20
169,5,0,20
170,5,0,20
171,5,0,20
172,5,0,20
173,5,0,20
174,5,0,20
175,5,0,20
176,5,0,20
177,5,0,20
178,5,0,20
179,5,0,20
180,5,0,20
181,5,0,20
182,5,0,20
183,5,0,20
184,5,0,20
185,5,0,20
186,5,0,20
187,5,0,20
188,5,0,20
189,5,0,20
190,5,0,20
191,5,0,20
192,5,0,20
193,5,0,20
194,5,0,20
195,5,0,20
196,5,0,20
197,5,0,20
198,5,0,20
199,5,0,20
200,5,0,20
201,5,0,20
202,5,0,20
203,5,0,20
204,5,0,20
205,5,0,20
206,5,0,20
207,5,0,20
208,5,0,20
209,5,0,20
210,5,0,20
211,5,0,20
212,5,0,20
213,5,0,20
214,5,0,20
215,5,0,20
216,5,0,20
217,5,0,20
218,5,0,20
219,5,0,20
220,5,0,20
221,5,0,20
222,5,0,20
223,5,0,20
224,5,0,20
225,5,0,20
226,5,0,20
227,5,0,20
228,5,0,20
229,5,0,20
230,5,0,20
231,5,0,20
232,5,0,20
233,5,0,20
234,5,0,20
235,5,0,20
236,5,0,20
237,5,0,20
238,5,0,20
239,5,0,20
240,5,0,20
241,5,0,20
242,5,0,20
243,5,0,20
244,5,0,20
245,5,0,20
246,5,0,20
247,5,0,20
248,5,0,20
249,5,0,20
250,5,0,20
251,5,0,20
252,5,0,20
253,5,0,20
254,5,0,20
255,5,0,20
256,5,0,20
257,5,0,20
258,5,0,20
259,5,0,20
260,5,0,20
261,5,0,20
262,5,0,20
263,5,0,20
264,5,0,20
265,5,0,20
266,5,0,20
267,5,0,20
268,5,0,20
269,5,0,20
270,5,0,20
271,5,0,20
272,5,0,20
273,5,0,20
274,5,0,20
275,5,0,20
276,5,0,20
277,5,0,20
278,5,0,20
279,5,0,20
280,5,0,20
281,5,0,20
282,5,0,20
283,5,0,20
284,5,0,20
285,5,0,20
286,5,0,20
287,5,0,20
288,5,0,20
289,5,0,20
290,5,0,20
291,5,0,20
292,5,0,20
293,5,0,20
294,5,0,20
295,5,0,20
296,5,0,20
297,5,0,20
298,5,0,20
299,5,0,20
300,5,0,20
301,5,0,20
302,5,0,20
303,5,0,20
304,5,0,20
305,5,0,20
306,5,0,20
307,5,0,20
308,5,0,20
309,5,0,20
310,5,0,20
311,5,0,20
312,5,0,20
313,5,0,20
314,5,0,20
315,5,0,20
316,5,0,20
317,5,0,20
318,5,0,20
319,5,0,20
320,5,0,20
321,5,0,20
322,5,0,20
323,5,0,20
324,5,0,20
325,5,0,20
326,5,0,20
327,5,0,20
328,5,0,20
329,5,0,20
330,5,0,20
331,5,0,20
332,5,0,20
333,5,0,20
334,5,0,20
335,5,0,20
336,5,0,20
337,5,0,20
338,5,0,20
339,5,0,20
340,5,0,20
341,5,0,20
342,5,0,20
343,5,0,20
344,5,0,20
345,5,0,20
346,5,0,20
347,5,0,20
348,5,0,20
349,5,0,20
350,5,0,20
351,5,0,20
352,5,0,20
353,5,0,20
354,5,0,20
355,5,0,20
356,5,0,20
357,5,0,20
358,5,0,20
359,5,0,20
360,5,0,20
361,5,0,20
362,5,0,20
363,5,0,20
364,5,0,20
365,5,0,20
366,5,0,20
367,5,0,20
368,5,0,20
369,5,0,20
370,5,0,20
371,5,0,20
372,5,0,20
373,5,0,20
374,5,0,20
375,5,0,20
376,5,0,20
377,5,0,20
378,5,0,20
379,5,0,20
380,5,0,20
381,5,0,20
382,5,0,20
383,5,0,20
384,5,0,20
385,5,0,20
386,5,0,20
387,5,0,20
388,5,0,20
389,5,0,20
390,5,0,20
391,5,0,20
392,5,0,20
393,5,0,20
394,5,0,20
395,5,0,20
396,5,0,20
397,5,0,20
398,5,0,20
399,5,0,20
400,5,0,20
401,5,0,20
402,5,0,20
403,5,0,20
404,5,0,20
405,5,0,20
406,5,0,20
407,5,0,20
408,5,0,20
409,5,0,20
410,5,0,20
411,5,0,20
412,5,0,20
413,5,0,20
414,5,0,20
415,5,0,20
416,5,0,20
417,5,0,20
418,5,0,20
419,5,0,20
420,5,0,20
421,5,0,20
422,5,0,20
423,5,0,20
424,5,0,20
425,5,0,20
426,5,0,20
427,5,0,20
428,5,0,20
429,5,0,20
430,5,0,20
431,5,0,20
432,5,0,20
433,5,0,20
434,5,0,20
435,5,0,20
436,5,0,20
437,5,0,20
438,5,0,20
439,5,0,20
440,5,0,20
441,5,0,20
442,5,0,20
443,5,0,20
444,5,0,20
445,5,0,20
446,5,0,20
447,5,0,20
448,5,0,20
449,5,0,20
450,5,0,20
451,5,0,20
452,5,0,20
453,5,0,20
454,5,0,20
455,5,0,20
456,5,0,20
457,5,0,20
458,5,0,20
459,5,0,20
460,5,0,20
461,5,0,20
462,5,0,20
463,5,0,20
464,5,0,20
465,5,0,20
466,5,0,20
467,5,0,20
468,5,0,20
469,5,0,20
470,5,0,20
471,5,0,20
472,5,0,20
473,5,0,20
474,5,0,20
475,5,0,20
476,5,0,20
477,5,0,20
478,5,0,20
479,5,0,20
480,5,0,20
481,5,0,20
482,5,0,20
483,5,0,20
484,5,0,20
485,5,0,20
486,5,0,20
487,5,0,20
488,5,0,20
489,5,0,20
490,5,0,20
491,5,0,20
492,5,0,20
493,5,0,20
494,5,0,20
495,5,0,20
496,5,0,20
497,5,0,20
498,5,0,20
499,5,0,20
500,5,0,20
501,5,0,20
502,5,0,20
503,5,0,20
504,5,0,20
505,5,0,20
506,5,0,20
507,5,0,20
508,5,0,20
509,5,0,20
510,5,0,20
511,5,0,20
512,5,0,20
513,5,0,20
514,5,0,20
515,5,0,20
516,5,0,20
517,5,0,20
518,5,0,20
519,5,0,20
520,5,0,20
521,5,0,20
522,5,0,20
523,5,0,20
524,5,0,20
